id_registro_asistencia,id_empleado,nombre_y_apellido_empleado,fecha,hora_entrada,hora_salida,entrada_minutos,salida_minutos,ausente,ausencias_consecutivas,llegadas_tarde_consecutivas,salidas_tempranas_consecutivas
58,2,María Gómez,2025-03-28,08:05,17:00,485,1020,0,0,0,0
59,2,María Gómez,2025-03-29,08:00,17:00,480,1020,0,0,0,0
60,2,María Gómez,2025-03-30,08:00,17:00,480,1020,0,0,0,0
61,3,Carlos López,2025-03-01,08:10,17:00,490,1020,0,0,0,0
62,3,Carlos López,2025-03-02,,,0,0,1,1,0,0
63,3,Carlos López,2025-03-03,08:10,17:00,490,1020,0,0,0,0
64,3,Carlos López,2025-03-04,,,0,0,1,1,0,0
65,3,Carlos López,2025-03-05,08:10,17:00,490,1020,0,0,0,0
66,3,Carlos López,2025-03-06,08:05,17:00,485,1020,0,0,0,0
67,3,Carlos López,2025-03-07,08:10,15:00,490,900,0,0,0,1
68,3,Carlos López,2025-03-08,08:05,17:00,485,1020,0,0,0,0
69,3,Carlos López,2025-03-09,,,0,0,1,1,0,0
70,3,Carlos López,2025-03-10,08:10,17:00,490,1020,0,0,0,0
71,3,Carlos López,2025-03-11,08:05,17:00,485,1020,0,0,0,0
72,3,Carlos López,2025-03-12,08:10,14:15,490,855,0,0,0,1
73,3,Carlos López,2025-03-13,08:10,17:00,490,1020,0,0,0,0
74,3,Carlos López,2025-03-14,08:10,17:00,490,1020,0,0,0,0
75,3,Carlos López,2025-03-15,,,0,0,1,1,0,0
76,3,Carlos López,2025-03-16,,,0,0,1,2,0,0
77,3,Carlos López,2025-03-17,08:10,17:00,490,1020,0,0,0,0
78,3,Carlos López,2025-03-18,08:10,17:00,490,1020,0,0,0,0
79,3,Carlos López,2025-03-19,08:05,17:00,485,1020,0,0,0,0
80,3,Carlos López,2025-03-20,08:05,17:00,485,1020,0,0,0,0
81,3,Carlos López,2025-03-21,08:05,17:00,485,1020,0,0,0,0
82,3,Carlos López,2025-03-22,08:10,14:15,490,855,0,0,0,1
83,3,Carlos López,2025-03-23,,,0,0,1,1,0,0
84,3,Carlos López,2025-03-24,08:10,17:00,490,1020,0,0,0,0
85,3,Carlos López,2025-03-25,08:05,17:00,485,1020,0,0,0,0
86,3,Carlos López,2025-03-26,08:05,17:00,485,1020,0,0,0,0
87,3,Carlos López,2025-03-27,08:10,16:15,490,975,0,0,0,1
88,3,Carlos López,2025-03-28,08:00,16:00,480,960,0,0,0,2
89,3,Carlos López,2025-03-29,08:05,17:00,485,1020,0,0,0,0
90,3,Carlos López,2025-03-30,08:05,17:00,485,1020,0,0,0,0
91,4,Ana Rodríguez,2025-03-01,08:00,16:30,480,990,0,0,0,1
92,4,Ana Rodríguez,2025-03-02,08:00,17:00,480,1020,0,0,0,0
93,4,Ana Rodríguez,2025-03-03,08:05,17:00,485,1020,0,0,0,0
94,4,Ana Rodríguez,2025-03-04,08:05,17:00,485,1020,0,0,0,0
95,4,Ana Rodríguez,2025-03-05,09:45,17:00,585,1020,0,0,1,0
96,4,Ana Rodríguez,2025-03-06,08:00,17:00,480,1020,0,0,0,0
97,4,Ana Rodríguez,2025-03-07,08:45,17:00,525,1020,0,0,1,0
98,4,Ana Rodríguez,2025-03-08,08:05,17:00,485,1020,0,0,0,0
99,4,Ana Rodríguez,2025-03-09,10:15,17:00,615,1020,0,0,1,0
100,4,Ana Rodríguez,2025-03-10,09:45,17:00,585,1020,0,0,2,0
101,4,Ana Rodríguez,2025-03-11,08:05,17:00,485,1020,0,0,0,0
102,4,Ana Rodríguez,2025-03-12,08:05,17:00,485,1020,0,0,0,0
103,4,Ana Rodríguez,2025-03-13,08:10,17:00,490,1020,0,0,0,0
104,4,Ana Rodríguez,2025-03-14,08:10,17:00,490,1020,0,0,0,0
105,4,Ana Rodríguez,2025-03-15,09:15,17:00,555,1020,0,0,1,0
106,4,Ana Rodríguez,2025-03-16,08:15,17:00,495,1020,0,0,2,0
107,4,Ana Rodríguez,2025-03-17,08:00,17:00,480,1020,0,0,0,0
108,4,Ana Rodríguez,2025-03-18,08:10,15:15,490,915,0,0,0,1
109,4,Ana Rodríguez,2025-03-19,09:15,17:00,555,1020,0,0,1,0
110,4,Ana Rodríguez,2025-03-20,08:05,17:00,485,1020,0,0,0,0
111,4,Ana Rodríguez,2025-03-21,08:00,17:00,480,1020,0,0,0,0
112,4,Ana Rodríguez,2025-03-22,08:05,17:00,485,1020,0,0,0,0
113,4,Ana Rodríguez,2025-03-23,08:00,17:00,480,1020,0,0,0,0
114,4,Ana Rodríguez,2025-03-24,08:15,17:00,495,1020,0,0,1,0
115,4,Ana Rodríguez,2025-03-25,08:15,17:00,495,1020,0,0,2,0
116,4,Ana Rodríguez,2025-03-26,08:10,17:00,490,1020,0,0,0,0
117,4,Ana Rodríguez,2025-03-27,08:45,17:00,525,1020,0,0,1,0
118,4,Ana Rodríguez,2025-03-28,08:05,17:00,485,1020,0,0,0,0
119,4,Ana Rodríguez,2025-03-29,08:00,15:00,480,900,0,0,0,1
120,4,Ana Rodríguez,2025-03-30,08:00,17:00,480,1020,0,0,0,0
121,5,Luis Fernández,2025-03-01,08:00,17:00,480,1020,0,0,0,0
122,5,Luis Fernández,2025-03-02,08:10,16:15,490,975,0,0,0,1
123,5,Luis Fernández,2025-03-03,08:00,17:00,480,1020,0,0,0,0
124,5,Luis Fernández,2025-03-04,08:00,17:00,480,1020,0,0,0,0
125,5,Luis Fernández,2025-03-05,10:15,17:00,615,1020,0,0,1,0
126,5,Luis Fernández,2025-03-06,09:15,17:00,555,1020,0,0,2,0
127,5,Luis Fernández,2025-03-07,08:00,17:00,480,1020,0,0,0,0
128,5,Luis Fernández,2025-03-08,08:00,17:00,480,1020,0,0,0,0
129,5,Luis Fernández,2025-03-09,08:05,17:00,485,1020,0,0,0,0
130,5,Luis Fernández,2025-03-10,08:10,17:00,490,1020,0,0,0,0
131,5,Luis Fernández,2025-03-11,08:05,17:00,485,1020,0,0,0,0
132,5,Luis Fernández,2025-03-12,09:30,17:00,570,1020,0,0,1,0
133,5,Luis Fernández,2025-03-13,08:05,17:00,485,1020,0,0,0,0
134,5,Luis Fernández,2025-03-14,09:30,17:00,570,1020,0,0,1,0
135,5,Luis Fernández,2025-03-15,08:10,17:00,490,1020,0,0,0,0
136,5,Luis Fernández,2025-03-16,08:45,17:00,525,1020,0,0,1,0
137,5,Luis Fernández,2025-03-17,08:10,17:00,490,1020,0,0,0,0
138,5,Luis Fernández,2025-03-18,08:10,17:00,490,1020,0,0,0,0
139,5,Luis Fernández,2025-03-19,08:00,17:00,480,1020,0,0,0,0
140,5,Luis Fernández,2025-03-20,08:00,17:00,480,1020,0,0,0,0
141,5,Luis Fernández,2025-03-21,08:10,17:00,490,1020,0,0,0,0
142,5,Luis Fernández,2025-03-22,08:05,17:00,485,1020,0,0,0,0
143,5,Luis Fernández,2025-03-23,08:10,17:00,490,1020,0,0,0,0
144,5,Luis Fernández,2025-03-24,10:45,17:00,645,1020,0,0,1,0
145,5,Luis Fernández,2025-03-25,08:05,17:00,485,1020,0,0,0,0
146,5,Luis Fernández,2025-03-26,08:00,17:00,480,1020,0,0,0,0
147,5,Luis Fernández,2025-03-27,08:05,17:00,485,1020,0,0,0,0
148,5,Luis Fernández,2025-03-28,08:45,17:00,525,1020,0,0,1,0
149,5,Luis Fernández,2025-03-29,10:30,17:00,630,1020,0,0,2,0
150,5,Luis Fernández,2025-03-30,08:00,17:00,480,1020,0,0,0,0
151,6,Sofía Martínez,2025-03-01,08:00,17:00,480,1020,0,0,0,0
152,6,Sofía Martínez,2025-03-02,08:00,17:00,480,1020,0,0,0,0
153,6,Sofía Martínez,2025-03-03,08:05,17:00,485,1020,0,0,0,0
154,6,Sofía Martínez,2025-03-04,08:00,17:00,480,1020,0,0,0,0
155,6,Sofía Martínez,2025-03-05,08:00,17:00,480,1020,0,0,0,0
156,6,Sofía Martínez,2025-03-06,08:00,15:00,480,900,0,0,0,1
157,6,Sofía Martínez,2025-03-07,08:10,17:00,490,1020,0,0,0,0
158,6,Sofía Martínez,2025-03-08,08:10,16:15,490,975,0,0,0,1
159,6,Sofía Martínez,2025-03-09,08:05,17:00,485,1020,0,0,0,0
160,6,Sofía Martínez,2025-03-10,,,0,0,1,1,0,0
161,6,Sofía Martínez,2025-03-11,08:00,17:00,480,1020,0,0,0,0
162,6,Sofía Martínez,2025-03-12,08:00,17:00,480,1020,0,0,0,0
163,6,Sofía Martínez,2025-03-13,08:05,17:00,485,1020,0,0,0,0
164,6,Sofía Martínez,2025-03-14,08:00,17:00,480,1020,0,0,0,0
165,6,Sofía Martínez,2025-03-15,08:00,17:00,480,1020,0,0,0,0
166,6,Sofía Martínez,2025-03-16,08:00,16:15,480,975,0,0,0,1
167,6,Sofía Martínez,2025-03-17,08:00,16:30,480,990,0,0,0,2
168,6,Sofía Martínez,2025-03-18,,,0,0,1,1,0,0
169,6,Sofía Martínez,2025-03-19,08:10,17:00,490,1020,0,0,0,0
170,6,Sofía Martínez,2025-03-20,09:15,17:00,555,1020,0,0,1,0
171,6,Sofía Martínez,2025-03-21,08:10,16:15,490,975,0,0,0,1
172,6,Sofía Martínez,2025-03-22,08:05,17:00,485,1020,0,0,0,0
173,6,Sofía Martínez,2025-03-23,08:00,17:00,480,1020,0,0,0,0
174,6,Sofía Martínez,2025-03-24,,,0,0,1,1,0,0
175,6,Sofía Martínez,2025-03-25,08:00,17:00,480,1020,0,0,0,0
176,6,Sofía Martínez,2025-03-26,08:10,17:00,490,1020,0,0,0,0
177,6,Sofía Martínez,2025-03-27,10:15,17:00,615,1020,0,0,1,0
178,6,Sofía Martínez,2025-03-28,08:05,17:00,485,1020,0,0,0,0
179,6,Sofía Martínez,2025-03-29,08:30,17:00,510,1020,0,0,1,0
180,6,Sofía Martínez,2025-03-30,09:45,17:00,585,1020,0,0,2,0
181,7,Pedro Sánchez,2025-03-01,08:05,17:00,485,1020,0,0,0,0
182,7,Pedro Sánchez,2025-03-02,08:00,17:00,480,1020,0,0,0,0
183,7,Pedro Sánchez,2025-03-03,08:00,17:00,480,1020,0,0,0,0
184,7,Pedro Sánchez,2025-03-04,08:45,17:00,525,1020,0,0,1,0
185,7,Pedro Sánchez,2025-03-05,08:10,17:00,490,1020,0,0,0,0
186,7,Pedro Sánchez,2025-03-06,08:00,17:00,480,1020,0,0,0,0
187,7,Pedro Sánchez,2025-03-07,08:05,17:00,485,1020,0,0,0,0
188,7,Pedro Sánchez,2025-03-08,,,0,0,1,1,0,0
189,7,Pedro Sánchez,2025-03-09,10:45,17:00,645,1020,0,0,1,0
190,7,Pedro Sánchez,2025-03-10,,,0,0,1,1,0,0
191,7,Pedro Sánchez,2025-03-11,,,0,0,1,2,0,0
192,7,Pedro Sánchez,2025-03-12,08:10,14:30,490,870,0,0,0,1
193,7,Pedro Sánchez,2025-03-13,08:45,17:00,525,1020,0,0,1,0
194,7,Pedro Sánchez,2025-03-14,,,0,0,1,1,0,0
195,7,Pedro Sánchez,2025-03-15,,,0,0,1,2,0,0
196,7,Pedro Sánchez,2025-03-16,08:00,17:00,480,1020,0,0,0,0
197,7,Pedro Sánchez,2025-03-17,08:00,17:00,480,1020,0,0,0,0
198,7,Pedro Sánchez,2025-03-18,08:05,17:00,485,1020,0,0,0,0
199,7,Pedro Sánchez,2025-03-19,08:00,17:00,480,1020,0,0,0,0
200,7,Pedro Sánchez,2025-03-20,08:05,17:00,485,1020,0,0,0,0
201,7,Pedro Sánchez,2025-03-21,08:10,17:00,490,1020,0,0,0,0
202,7,Pedro Sánchez,2025-03-22,,,0,0,1,1,0,0
203,7,Pedro Sánchez,2025-03-23,10:45,17:00,645,1020,0,0,1,0
204,7,Pedro Sánchez,2025-03-24,08:10,16:30,490,990,0,0,0,1
205,7,Pedro Sánchez,2025-03-25,,,0,0,1,1,0,0
206,7,Pedro Sánchez,2025-03-26,08:10,17:00,490,1020,0,0,0,0
207,7,Pedro Sánchez,2025-03-27,10:45,17:00,645,1020,0,0,1,0
208,7,Pedro Sánchez,2025-03-28,09:15,17:00,555,1020,0,0,2,0
209,7,Pedro Sánchez,2025-03-29,08:00,17:00,480,1020,0,0,0,0
210,7,Pedro Sánchez,2025-03-30,08:00,17:00,480,1020,0,0,0,0
211,8,Laura Díaz,2025-03-01,08:00,17:00,480,1020,0,0,0,0
212,8,Laura Díaz,2025-03-02,10:15,17:00,615,1020,0,0,1,0
213,8,Laura Díaz,2025-03-03,,,0,0,1,1,0,0
214,8,Laura Díaz,2025-03-04,08:00,17:00,480,1020,0,0,0,0
215,8,Laura Díaz,2025-03-05,,,0,0,1,1,0,0
216,8,Laura Díaz,2025-03-06,08:00,17:00,480,1020,0,0,0,0
217,8,Laura Díaz,2025-03-07,08:05,17:00,485,1020,0,0,0,0
218,8,Laura Díaz,2025-03-08,08:00,17:00,480,1020,0,0,0,0
219,8,Laura Díaz,2025-03-09,08:10,17:00,490,1020,0,0,0,0
220,8,Laura Díaz,2025-03-10,08:00,15:00,480,900,0,0,0,1
221,8,Laura Díaz,2025-03-11,,,0,0,1,1,0,0
222,8,Laura Díaz,2025-03-12,08:00,17:00,480,1020,0,0,0,0
223,8,Laura Díaz,2025-03-13,08:00,17:00,480,1020,0,0,0,0
224,8,Laura Díaz,2025-03-14,08:00,17:00,480,1020,0,0,0,0
225,8,Laura Díaz,2025-03-15,10:15,17:00,615,1020,0,0,1,0
226,8,Laura Díaz,2025-03-16,08:10,17:00,490,1020,0,0,0,0
227,8,Laura Díaz,2025-03-17,09:15,17:00,555,1020,0,0,1,0
228,8,Laura Díaz,2025-03-18,08:05,17:00,485,1020,0,0,0,0
229,8,Laura Díaz,2025-03-19,08:05,17:00,485,1020,0,0,0,0
230,8,Laura Díaz,2025-03-20,08:00,17:00,480,1020,0,0,0,0
231,8,Laura Díaz,2025-03-21,,,0,0,1,1,0,0
232,8,Laura Díaz,2025-03-22,08:00,17:00,480,1020,0,0,0,0
233,8,Laura Díaz,2025-03-23,08:05,17:00,485,1020,0,0,0,0
234,8,Laura Díaz,2025-03-24,08:00,17:00,480,1020,0,0,0,0
235,8,Laura Díaz,2025-03-25,08:05,17:00,485,1020,0,0,0,0
236,8,Laura Díaz,2025-03-26,08:15,17:00,495,1020,0,0,1,0
237,8,Laura Díaz,2025-03-27,09:45,17:00,585,1020,0,0,2,0
238,8,Laura Díaz,2025-03-28,08:05,17:00,485,1020,0,0,0,0
239,8,Laura Díaz,2025-03-29,,,0,0,1,1,0,0
240,8,Laura Díaz,2025-03-30,08:10,17:00,490,1020,0,0,0,0
241,9,Jorge Torres,2025-03-01,,,0,0,1,1,0,0
242,9,Jorge Torres,2025-03-02,08:05,17:00,485,1020,0,0,0,0
243,9,Jorge Torres,2025-03-03,,,0,0,1,1,0,0
244,9,Jorge Torres,2025-03-04,08:00,17:00,480,1020,0,0,0,0
245,9,Jorge Torres,2025-03-05,08:00,17:00,480,1020,0,0,0,0
246,9,Jorge Torres,2025-03-06,08:05,17:00,485,1020,0,0,0,0
247,9,Jorge Torres,2025-03-07,10:15,17:00,615,1020,0,0,1,0
248,9,Jorge Torres,2025-03-08,10:30,17:00,630,1020,0,0,2,0
249,9,Jorge Torres,2025-03-09,,,0,0,1,1,0,0
250,9,Jorge Torres,2025-03-10,08:15,17:00,495,1020,0,0,1,0
251,9,Jorge Torres,2025-03-11,08:00,17:00,480,1020,0,0,0,0
252,9,Jorge Torres,2025-03-12,08:30,17:00,510,1020,0,0,1,0
253,9,Jorge Torres,2025-03-13,,,0,0,1,1,0,0
254,9,Jorge Torres,2025-03-14,08:00,17:00,480,1020,0,0,0,0
255,9,Jorge Torres,2025-03-15,08:10,17:00,490,1020,0,0,0,0
256,9,Jorge Torres,2025-03-16,08:00,17:00,480,1020,0,0,0,0
257,9,Jorge Torres,2025-03-17,08:10,17:00,490,1020,0,0,0,0
258,9,Jorge Torres,2025-03-18,08:15,17:00,495,1020,0,0,1,0
259,9,Jorge Torres,2025-03-19,,,0,0,1,1,0,0
260,9,Jorge Torres,2025-03-20,08:10,17:00,490,1020,0,0,0,0
261,9,Jorge Torres,2025-03-21,08:15,17:00,495,1020,0,0,1,0
262,9,Jorge Torres,2025-03-22,08:10,17:00,490,1020,0,0,0,0
263,9,Jorge Torres,2025-03-23,08:15,17:00,495,1020,0,0,1,0
264,9,Jorge Torres,2025-03-24,08:05,17:00,485,1020,0,0,0,0
265,9,Jorge Torres,2025-03-25,08:05,17:00,485,1020,0,0,0,0
266,9,Jorge Torres,2025-03-26,08:10,17:00,490,1020,0,0,0,0
267,9,Jorge Torres,2025-03-27,10:30,17:00,630,1020,0,0,1,0
268,9,Jorge Torres,2025-03-28,,,0,0,1,1,0,0
269,9,Jorge Torres,2025-03-29,08:10,17:00,490,1020,0,0,0,0
270,9,Jorge Torres,2025-03-30,,,0,0,1,1,0,0
271,10,Lucía Herrera,2025-03-01,08:10,17:00,490,1020,0,0,0,0
272,10,Lucía Herrera,2025-03-02,08:00,17:00,480,1020,0,0,0,0
273,10,Lucía Herrera,2025-03-03,09:30,17:00,570,1020,0,0,1,0
274,10,Lucía Herrera,2025-03-04,,,0,0,1,1,0,0
275,10,Lucía Herrera,2025-03-05,08:10,17:00,490,1020,0,0,0,0
276,10,Lucía Herrera,2025-03-06,08:05,17:00,485,1020,0,0,0,0
277,10,Lucía Herrera,2025-03-07,08:10,17:00,490,1020,0,0,0,0
278,10,Lucía Herrera,2025-03-08,08:00,17:00,480,1020,0,0,0,0
279,10,Lucía Herrera,2025-03-09,08:00,17:00,480,1020,0,0,0,0
280,10,Lucía Herrera,2025-03-10,10:45,17:00,645,1020,0,0,1,0
281,10,Lucía Herrera,2025-03-11,08:10,17:00,490,1020,0,0,0,0
282,10,Lucía Herrera,2025-03-12,,,0,0,1,1,0,0
283,10,Lucía Herrera,2025-03-13,08:30,17:00,510,1020,0,0,1,0
284,10,Lucía Herrera,2025-03-14,08:15,17:00,495,1020,0,0,2,0
285,10,Lucía Herrera,2025-03-15,09:45,17:00,585,1020,0,0,3,0
286,10,Lucía Herrera,2025-03-16,08:05,17:00,485,1020,0,0,0,0
287,10,Lucía Herrera,2025-03-17,10:15,17:00,615,1020,0,0,1,0
288,10,Lucía Herrera,2025-03-18,08:15,17:00,495,1020,0,0,2,0
289,10,Lucía Herrera,2025-03-19,08:10,17:00,490,1020,0,0,0,0
290,10,Lucía Herrera,2025-03-20,08:05,17:00,485,1020,0,0,0,0
291,10,Lucía Herrera,2025-03-21,09:30,17:00,570,1020,0,0,1,0
292,10,Lucía Herrera,2025-03-22,10:30,17:00,630,1020,0,0,2,0
293,10,Lucía Herrera,2025-03-23,08:05,17:00,485,1020,0,0,0,0
294,10,Lucía Herrera,2025-03-24,08:10,16:30,490,990,0,0,0,1
295,10,Lucía Herrera,2025-03-25,08:10,17:00,490,1020,0,0,0,0
296,10,Lucía Herrera,2025-03-26,,,0,0,1,1,0,0
297,10,Lucía Herrera,2025-03-27,10:15,17:00,615,1020,0,0,1,0
298,10,Lucía Herrera,2025-03-28,08:45,17:00,525,1020,0,0,2,0
299,10,Lucía Herrera,2025-03-29,08:00,17:00,480,1020,0,0,0,0
300,10,Lucía Herrera,2025-03-30,08:00,17:00,480,1020,0,0,0,0
301,11,Valentina Morales,2025-03-01,08:10,17:00,490,1020,0,0,0,0
302,11,Valentina Morales,2025-03-02,08:10,17:00,490,1020,0,0,0,0
303,11,Valentina Morales,2025-03-03,,,0,0,1,1,0,0
304,11,Valentina Morales,2025-03-04,08:05,17:00,485,1020,0,0,0,0
305,11,Valentina Morales,2025-03-05,08:05,17:00,485,1020,0,0,0,0
306,11,Valentina Morales,2025-03-06,08:15,17:00,495,1020,0,0,1,0
307,11,Valentina Morales,2025-03-07,08:05,17:00,485,1020,0,0,0,0
308,11,Valentina Morales,2025-03-08,08:10,17:00,490,1020,0,0,0,0
309,11,Valentina Morales,2025-03-09,08:00,17:00,480,1020,0,0,0,0
310,11,Valentina Morales,2025-03-10,10:15,17:00,615,1020,0,0,1,0
311,11,Valentina Morales,2025-03-11,08:10,17:00,490,1020,0,0,0,0
312,11,Valentina Morales,2025-03-12,08:05,17:00,485,1020,0,0,0,0
313,11,Valentina Morales,2025-03-13,08:05,17:00,485,1020,0,0,0,0
314,11,Valentina Morales,2025-03-14,08:10,17:00,490,1020,0,0,0,0
315,11,Valentina Morales,2025-03-15,08:05,17:00,485,1020,0,0,0,0
316,11,Valentina Morales,2025-03-16,08:00,17:00,480,1020,0,0,0,0
317,11,Valentina Morales,2025-03-17,10:45,17:00,645,1020,0,0,1,0
318,11,Valentina Morales,2025-03-18,08:00,14:30,480,870,0,0,0,1
319,11,Valentina Morales,2025-03-19,,,0,0,1,1,0,0
320,11,Valentina Morales,2025-03-20,08:00,17:00,480,1020,0,0,0,0
321,11,Valentina Morales,2025-03-21,,,0,0,1,1,0,0
322,11,Valentina Morales,2025-03-22,08:00,17:00,480,1020,0,0,0,0
323,11,Valentina Morales,2025-03-23,08:10,17:00,490,1020,0,0,0,0
324,11,Valentina Morales,2025-03-24,08:10,17:00,490,1020,0,0,0,0
325,11,Valentina Morales,2025-03-25,08:05,17:00,485,1020,0,0,0,0
326,11,Valentina Morales,2025-03-26,08:05,17:00,485,1020,0,0,0,0
327,11,Valentina Morales,2025-03-27,08:00,17:00,480,1020,0,0,0,0
328,11,Valentina Morales,2025-03-28,08:30,17:00,510,1020,0,0,1,0
329,11,Valentina Morales,2025-03-29,08:05,17:00,485,1020,0,0,0,0
330,11,Valentina Morales,2025-03-30,10:30,17:00,630,1020,0,0,1,0
331,12,Mateo Ruiz,2025-03-01,08:00,17:00,480,1020,0,0,0,0
332,12,Mateo Ruiz,2025-03-02,08:05,17:00,485,1020,0,0,0,0
333,12,Mateo Ruiz,2025-03-03,08:45,17:00,525,1020,0,0,1,0
334,12,Mateo Ruiz,2025-03-04,08:10,16:30,490,990,0,0,0,1
335,12,Mateo Ruiz,2025-03-05,08:05,17:00,485,1020,0,0,0,0
336,12,Mateo Ruiz,2025-03-06,08:00,17:00,480,1020,0,0,0,0
337,12,Mateo Ruiz,2025-03-07,08:00,17:00,480,1020,0,0,0,0
338,12,Mateo Ruiz,2025-03-08,08:10,17:00,490,1020,0,0,0,0
339,12,Mateo Ruiz,2025-03-09,08:10,17:00,490,1020,0,0,0,0
340,12,Mateo Ruiz,2025-03-10,08:10,17:00,490,1020,0,0,0,0
341,12,Mateo Ruiz,2025-03-11,08:05,17:00,485,1020,0,0,0,0
342,12,Mateo Ruiz,2025-03-12,08:05,17:00,485,1020,0,0,0,0
343,12,Mateo Ruiz,2025-03-13,08:05,17:00,485,1020,0,0,0,0
344,12,Mateo Ruiz,2025-03-14,,,0,0,1,1,0,0
345,12,Mateo Ruiz,2025-03-15,08:45,17:00,525,1020,0,0,1,0
346,12,Mateo Ruiz,2025-03-16,08:45,17:00,525,1020,0,0,2,0
347,12,Mateo Ruiz,2025-03-17,,,0,0,1,1,0,0
348,12,Mateo Ruiz,2025-03-18,08:05,17:00,485,1020,0,0,0,0
349,12,Mateo Ruiz,2025-03-19,08:00,17:00,480,1020,0,0,0,0
350,12,Mateo Ruiz,2025-03-20,08:10,17:00,490,1020,0,0,0,0
